GlobalId,Type,Name,StoreyName,StoreyGlobalId
2CVyLIhh96dAVAX2CCwJug,IfcScheduleTimeControl,,,
1hNOrBIyz9Ju4FNHanodpr,IfcScheduleTimeControl,,,
3Q$tUXz$56N8miYQ9yOutb,IfcScheduleTimeControl,,,
1KXbXdVh1Coglo_wiEDay4,IfcScheduleTimeControl,,,
0s37Z8gI1FZ8REUtYfUgar,IfcScheduleTimeControl,,,
1mB8LE6E5C$vBdRtG718Nf,IfcScheduleTimeControl,,,
3XE876Qvj57BKXQNXowX_u,IfcScheduleTimeControl,,,
3VUzgbpxf6tAOMIKH7mJWY,IfcScheduleTimeControl,,,
0OYDulRW187O1yOaibR9sG,IfcScheduleTimeControl,,,
0MGiyHIk53G8BpSrviI0T_,IfcScheduleTimeControl,,,
2d0WVA1bD0hOuCWw9p6sDp,IfcScheduleTimeControl,,,
3$mjzuJaPDZu4XVBgj4O_N,IfcScheduleTimeControl,,,
32EK_ULajCUgdPIgyfHfHO,IfcScheduleTimeControl,,,
3Td6wW8TP5UP7T7xNnDeVO,IfcScheduleTimeControl,,,
1PG006CDr5Sf8brHE1l2TW,IfcScheduleTimeControl,,,
3t_q$Lt19BmRxWyBqEFysU,IfcScheduleTimeControl,,,
3iaRZtuDr6$u0sq5J1jZuc,IfcScheduleTimeControl,,,
2Qgp7z4LvDNu9mKFMDMXsZ,IfcScheduleTimeControl,,,
2rJTNbZsH2ke9zBH3zJDkF,IfcScheduleTimeControl,,,
3MjAao3xHCLP2OLZPwP8Ee,IfcScheduleTimeControl,,,
0EN1_5Y7X5Ih09ckLzm4fx,IfcScheduleTimeControl,,,
2afkhe295DnRJnsmbe7sED,IfcScheduleTimeControl,,,
30RZuNp1DEzOnC4ZXIE49e,IfcScheduleTimeControl,,,
2xLF8Al_nDJf8FwmwrdbYg,IfcScheduleTimeControl,,,
2ZnTXBtGj1_uHU9qVEXY_u,IfcScheduleTimeControl,,,
3IkXdrCDT2U9Bh$Mx7DdwK,IfcScheduleTimeControl,,,
1bcVRT18jBVu67FhbHKj51,IfcScheduleTimeControl,,,
0W9DJlGC5BVvUMv$N13Vtw,IfcScheduleTimeControl,,,
0vpsmZQJTCBQTvowTj1i1F,IfcScheduleTimeControl,,,
0vJZn8Nbb68hYQEiKiIz5o,IfcScheduleTimeControl,,,
1uclBkx$H7zP5iijFMZ7j9,IfcScheduleTimeControl,,,
0KsvP$EfX1refuuU4cYwB_,IfcScheduleTimeControl,,,
1FpwJaTyX7Kfb7w2t$mvIh,IfcScheduleTimeControl,,,
08ZzuYN$j9KvaRcUSHm7uN,IfcScheduleTimeControl,,,
2pc8srvLP14PPT6KQy1Omo,IfcScheduleTimeControl,,,
3we_33j6jE5PDM8Mjc34dR,IfcScheduleTimeControl,,,
2g4lDLnsrCbORAOntD9$mZ,IfcScheduleTimeControl,,,
3f0CIlrnf30fC5zw_4dGZ2,IfcScheduleTimeControl,,,
0LuNpyqMj2PgZy0dnEGyVx,IfcScheduleTimeControl,,,
21G$RVg2vEUB$LfCqK9$Gw,IfcScheduleTimeControl,,,
3jkneLos13LxT12X1__Omy,IfcScheduleTimeControl,,,
2T3vnAsJb0eO3BJZsQgegZ,IfcScheduleTimeControl,,,
28Aq5LoJj3RfFKL7QhaO8M,IfcScheduleTimeControl,,,
2S2HrpmYX7Z9ECX$UqynDo,IfcScheduleTimeControl,,,
0RidioXWn7CfaDVkQ1Q8ZH,IfcScheduleTimeControl,,,
06tVqsL$zAxAtPDA8XAyOD,IfcScheduleTimeControl,,,
2puJGcmSfEYQ6h6fOeodKq,IfcScheduleTimeControl,,,
2oIdOIf7v9ww7AWCc2Q10U,IfcScheduleTimeControl,,,
3u0dKTqrnEQvmRTJ8sngY_,IfcScheduleTimeControl,,,
0Gq4jO56f4_wDf$6SmheBn,IfcScheduleTimeControl,,,
262Ciu5KPAS8Z6AECJ49j8,IfcScheduleTimeControl,,,
2o5qoEeF153w0CNDMBSibz,IfcScheduleTimeControl,,,
1sm5y9TRH6lPzirS7erqyU,IfcScheduleTimeControl,,,
1kyzFleAjEsR427dxUZiZy,IfcScheduleTimeControl,,,
24_eL0JG9CNecyROP88mDe,IfcScheduleTimeControl,,,
38$$pwxXnCuPz98HgmfcCv,IfcScheduleTimeControl,,,
179P1PyjfAJBi7Z0nzNZnI,IfcScheduleTimeControl,,,
1PaOUb90jBWe97E7XCLl6g,IfcScheduleTimeControl,,,
27c4LlWWD86eT1UHS0b2Ue,IfcScheduleTimeControl,,,
1_fBV$f$v2Fx17pvSPSyNj,IfcScheduleTimeControl,,,
0Rays9xmP14Pwf9RT$luPg,IfcScheduleTimeControl,,,
2Wmim91AP3a85_5ccyrCmA,IfcScheduleTimeControl,,,
0rk0bSR1T8_ARoyKf03p9K,IfcScheduleTimeControl,,,
2QVY2jheL45Rn7LpK8i6T8,IfcScheduleTimeControl,,,
3OaPLBw8r4HxvXJzNh$dvA,IfcScheduleTimeControl,,,
0iM0XLP$X0sh9$p53SROIE,IfcScheduleTimeControl,,,
2Z3xTNztPAIRhWXfSDYNSD,IfcScheduleTimeControl,,,
0xe3Pg6yzCFAw1JDS3OHou,IfcScheduleTimeControl,,,
2hoq5f0216NfW3F2POs5L0,IfcScheduleTimeControl,,,
0bqh7j1sD4NfG$iUKR5i9_,IfcScheduleTimeControl,,,
2vk1rxOZ90wvbli1hI0TBR,IfcScheduleTimeControl,,,
1$cCKXCN98cuPD969WPDy5,IfcScheduleTimeControl,,,
13OqpS$4j1luCi3itFBL3k,IfcScheduleTimeControl,,,
1NjZGTvOD3HuwyNs4VSrEx,IfcScheduleTimeControl,,,
07bOUHC2P4chUzPAcGX7fE,IfcScheduleTimeControl,,,
1vjrB5nNz3kARHRAQ3heTx,IfcScheduleTimeControl,,,
37C02F6SjBue4TE9p1pg1Y,IfcScheduleTimeControl,,,
12bV3hv3P9ovzrPLgqjc8E,IfcScheduleTimeControl,,,
3flRADTI9DdeN2w4RJ2uOv,IfcScheduleTimeControl,,,
107eT7hZ10NvG8$TlAU9Zj,IfcScheduleTimeControl,,,
0dodxZqw93XgfZlNHoC3ls,IfcScheduleTimeControl,,,
1_i_9ouP95BR7Zbrj$9VVK,IfcScheduleTimeControl,,,
0XDB2Hkaz7UfhU3Kc6gVNE,IfcScheduleTimeControl,,,
2LMbYlYPLBYvgGClErrGn2,IfcScheduleTimeControl,,,
1Ha9Z6bbT7KBHBjVSTQvhR,IfcScheduleTimeControl,,,
2rNw$4zYD4mfVO$YDS7lm4,IfcScheduleTimeControl,,,
3qUkshxOfCj9qiK_MtUxUH,IfcScheduleTimeControl,,,
0W_MGA_r150OHx53Bz9ST2,IfcScheduleTimeControl,,,
39Ul5Y_tL8FRMWr9hEzFdU,IfcScheduleTimeControl,,,
0XgUG8UV14ehtlbTtMDTzV,IfcScheduleTimeControl,,,
36W6hb3oX5qezZ1ndmofSB,IfcScheduleTimeControl,,,
3po1GkPJT60usHuhuEr12C,IfcScheduleTimeControl,,,
021bU$08jDzB2rhY9GsBIW,IfcScheduleTimeControl,,,
2DnyDZj$v3EPwd_gGmGrZi,IfcScheduleTimeControl,,,
3kOhwoLrv6URZH6KSzlhrv,IfcScheduleTimeControl,,,
3YtAxO6g5AnAvJyawaBjiw,IfcScheduleTimeControl,,,
3238QVsFLCWf8oLRmyt8FU,IfcScheduleTimeControl,,,
1jgk$y7c1D5Ayxfbl5OpC7,IfcScheduleTimeControl,,,
2bIfXP8T54RxdDBSpi20JB,IfcScheduleTimeControl,,,
2qgq6U$3TBGRy0rDtTQ_om,IfcScheduleTimeControl,,,
1g1A0dVlT8aAfL1ydkcvLG,IfcScheduleTimeControl,,,
353lL1F4XEsP4mmuoQlJ8V,IfcScheduleTimeControl,,,
0NEKSKD854IulKHK4GXLdr,IfcScheduleTimeControl,,,
3Su4YZMvj2l9ssnWwnyGrI,IfcScheduleTimeControl,,,
3bUbqCV35C3ehdv6Wn0VEV,IfcScheduleTimeControl,,,
1W8RvO4a9BZu0uJ0S9eiZ_,IfcScheduleTimeControl,,,
1rMvFrf$j6Zw0d4hYckh4K,IfcScheduleTimeControl,,,
0F_bgIVWD7283KQkKVzpcn,IfcScheduleTimeControl,,,
3_7OV7fYjFngmathzme$yI,IfcScheduleTimeControl,,,
1TmTiqcdXCQPYi3XyRdwHR,IfcScheduleTimeControl,,,
1qdLNTY2PFhOXKForirD0X,IfcScheduleTimeControl,,,
2vAOOY0o51lwnUkrCcYpYc,IfcScheduleTimeControl,,,
3HJQXNRIzEWeClQa2FYqMc,IfcScheduleTimeControl,,,
2J6EB34vnA0w$LeHcwSfDt,IfcScheduleTimeControl,,,
1yIQygGFf6_RXVPsw2Uz3K,IfcScheduleTimeControl,,,
1zAFru42n8gORlqyvfo8EO,IfcScheduleTimeControl,,,
36tdAKSSf9ifDyVXNMeIdr,IfcScheduleTimeControl,,,
0A9zB6yyDBv9kLgLRBYL6J,IfcScheduleTimeControl,,,
2__iv484z0XOewoBkSV_K$,IfcScheduleTimeControl,,,
0bML6Wsy5FseOYtVYN2fhO,IfcScheduleTimeControl,,,
0$RfvFWUzFGBjqZQ2GA7VL,IfcScheduleTimeControl,,,
0CYIrzsYjBqgPirhCRjdlz,IfcScheduleTimeControl,,,
00JVg6b_18ces$mSVYoQyl,IfcScheduleTimeControl,,,
0aZt$SyU98fPmJ6LpZZQjT,IfcScheduleTimeControl,,,
2yaNCpfE10KBwp32iNV4rZ,IfcWorkPlan,Workplan for [C:\Users\Administrator\Desktop\12\Synchro PRO Training\.sp Files\SYNCHRO Training Building Completed.ifc],,
3ebTlzSpv3CPZ0WzUScb30,IfcWorkSchedule,Works schedule for [C:\Users\Administrator\Desktop\12\Synchro PRO Training\.sp Files\SYNCHRO Training Building Completed.ifc],,
2lh7UoeDD70ekywZqAaIk8,IfcTask,Pre Construction,,
1EYFwQglT1rOnCymT2amT5,IfcTask,Notice to Proceed,,
0bEm_gyiT3FBzR$VeosRv$,IfcTask,Building Permit,,
27WTXcQcX7GuEuuWfo8VGm,IfcTask,Award Subcontractors,,
1LzS5SV3j9GeU1fVsieX2I,IfcTask,Install Perimeter Fence,,
2w4v_3ZjDCjfKc_UD8amcU,IfcTask,Install Temporary Hard Standing,,
0Yd0rLjyj5GeMiUjhwiNbr,IfcTask,Install Office Trailers,,
3NMIOdjXr84uXCj$VRH3NG,IfcTask,Material Procurement,,
1rXvvHCM969g7dfkzoTnPw,IfcTask,Structural Steel,,
1Wx9QXgXv2_hXw3$58HtSZ,IfcTask,Curtain Wall,,
3RtHvjoVT51PcqE4LIMZlO,IfcTask,Elevator,,
2lJ1VMDMr61uZvSuaamN8M,IfcTask,MEP Equipment,,
2v8WDIZa11UBTInHMmZrF4,IfcTask,Construction,,
