start_node_id,end_node_id,relationship_type,properties
ST00020,ST00030,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00020,ST00040,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00040,ST00050,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00050,ST00060,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00060,ST00070,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00040,ST00080,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00040,ST00090,PRECEDES,"{'type': 'FS', 'lag': 10}"
ST00040,ST00100,PRECEDES,"{'type': 'FS', 'lag': 20}"
ST00040,ST00110,PRECEDES,"{'type': 'FS', 'lag': 30}"
ST00050,ST00120,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00030,ST00120,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00120,ST00130,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00990,ST00995,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00995,ST01000,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00030,ST00140,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00230,ST00150,PRECEDES,"{'type': 'FS', 'lag': 7}"
ST00140,ST00150,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00230,ST00160,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00150,ST00160,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00630,ST00170,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00170,ST00180,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00630,ST00190,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00190,ST00200,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00130,ST00210,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00210,ST00220,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00220,ST00230,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00160,ST00240,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00400,ST00240,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01010,ST01020,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01020,ST01030,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00410,ST01090,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00420,ST01090,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00430,ST01090,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00440,ST01090,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00250,ST00260,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00260,ST00270,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00270,ST00280,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00280,ST00290,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00290,ST00300,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01110,ST01120,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00310,ST00320,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00320,ST00330,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01090,ST00340,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00410,ST00340,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00420,ST00340,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00430,ST00340,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00440,ST00340,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00340,ST00350,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00430,ST00350,PRECEDES,"{'type': 'FS', 'lag': 0}"
